,target,time,turkId
19800,0,445.14300500000013,ID7
19804,5,446.67400000000015,ID7
19806,5,446.79800500000016,ID7
19807,5,446.94700500000016,ID7
19808,5,447.218,ID7
19809,5,447.306005,ID7
19810,5,447.6150000000002,ID7
19811,5,447.651005,ID7
19812,5,448.15300000000013,ID7
19813,5,448.229,ID7
19814,5,449.157,ID7
19815,5,449.19800000000015,ID7
19816,5,449.494,ID7
19817,5,450.085,ID7
19821,2,452.91,ID7
19823,2,452.984,ID7
19824,2,453.113005,ID7
19825,2,453.32200500000016,ID7
19826,2,453.409005,ID7
19827,2,454.065,ID7
19828,2,454.32600000000014,ID7
19829,2,455.056005,ID7
19830,2,455.103,ID7
19831,2,456.21700000000016,ID7
19835,2,457.515005,ID7
19837,2,457.883,ID7
19838,2,458.032,ID7
19839,2,458.7300050000002,ID7
19840,2,458.939005,ID7
19841,2,459.083005,ID7
19842,2,460.234,ID7
19843,2,460.73500500000017,ID7
19847,4,464.5140000000002,ID7
19849,4,465.316,ID7
19850,4,465.627005,ID7
19851,4,465.9370000000001,ID7
19852,4,466.002005,ID7
19853,4,466.66900000000015,ID7
19857,5,467.757005,ID7
19859,5,468.1390000000002,ID7
19860,5,468.27500000000015,ID7
19861,5,468.70600000000013,ID7
19865,0,469.6340000000001,ID7
19867,0,469.747,ID7
19871,5,471.195,ID7
19873,5,471.81800000000015,ID7
19874,5,471.9180000000002,ID7
19875,5,473.164005,ID7
19876,5,474.89300500000013,ID7
19877,5,475.671,ID7
19881,1,477.864,ID7
19883,1,478.8650000000002,ID7
19884,1,479.108005,ID7
19885,1,479.46,ID7
19886,1,479.6240050000001,ID7
19887,1,480.19600000000014,ID7
19888,1,480.6050050000002,ID7
19889,1,481.665005,ID7
19893,0,483.17800500000016,ID7
19895,0,483.33700000000016,ID7
19899,4,484.95600000000013,ID7
19901,4,485.272,ID7
19902,4,485.29700000000014,ID7
19903,4,486.006,ID7
19904,4,486.03,ID7
19905,4,486.4710000000002,ID7
19906,4,486.767,ID7
19907,4,487.263,ID7
19908,4,487.473,ID7
19909,4,487.670005,ID7
19910,4,487.93200000000013,ID7
19911,4,488.189005,ID7
19912,4,488.251005,ID7
19913,4,488.784005,ID7
19917,5,489.772,ID7
19919,5,490.19,ID7
19920,5,490.289005,ID7
19921,5,490.415005,ID7
19922,5,491.25000000000017,ID7
19923,5,491.54900000000015,ID7
19924,5,491.73500500000017,ID7
19925,5,492.66200500000014,ID7
19926,5,492.86000500000017,ID7
19927,5,494.36900000000014,ID7
19928,5,495.215,ID7
19932,4,496.6240050000001,ID7
19934,4,496.81100500000014,ID7
19935,4,496.935,ID7
19936,4,497.45600000000013,ID7
19937,4,497.751005,ID7
19938,4,497.973,ID7
19939,4,498.146005,ID7
19940,4,499.458005,ID7
19941,4,499.565,ID7
19942,4,500.164005,ID7
19943,4,500.2450000000002,ID7
19944,4,500.8940000000002,ID7
19945,4,501.31,ID7
19946,4,502.084,ID7
19950,3,502.9180000000002,ID7
19952,3,503.10100000000017,ID7
19953,3,503.121005,ID7
19954,3,503.31,ID7
19955,3,503.411,ID7
19956,3,503.828005,ID7
19957,3,504.18800000000016,ID7
19961,3,504.75000000000017,ID7
19963,3,505.12500000000017,ID7
19964,3,505.857005,ID7
19965,3,506.151005,ID7
19966,3,506.349005,ID7
19967,3,506.719005,ID7
19968,3,506.978,ID7
19972,2,508.06700500000017,ID7
19974,2,508.2880000000001,ID7
19975,2,508.534005,ID7
19976,2,508.684005,ID7
19977,2,508.843,ID7
